movieId,count,title,genres
1,215,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,110,Jumanji (1995),Adventure|Children|Fantasy
3,52,Grumpier Old Men (1995),Comedy|Romance
6,102,Heat (1995),Action|Crime|Thriller
7,54,Sabrina (1995),Comedy|Romance
10,132,GoldenEye (1995),Action|Adventure|Thriller
11,70,"American President, The (1995)",Comedy|Drama|Romance
16,82,Casino (1995),Crime|Drama
17,67,Sense and Sensibility (1995),Drama|Romance
19,88,Ace Ventura: When Nature Calls (1995),Comedy
21,89,Get Shorty (1995),Comedy|Crime|Thriller
25,76,Leaving Las Vegas (1995),Drama|Romance
32,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,128,Babe (1995),Children|Drama
36,67,Dead Man Walking (1995),Crime|Drama
39,104,Clueless (1995),Comedy|Romance
47,203,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,68,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
50,204,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
62,80,Mr. Holland's Opus (1995),Drama
70,55,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
95,84,Broken Arrow (1996),Action|Adventure|Thriller
104,99,Happy Gilmore (1996),Comedy
110,237,Braveheart (1995),Action|Drama|War
111,104,Taxi Driver (1976),Crime|Drama|Thriller
141,86,"Birdcage, The (1996)",Comedy
145,51,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
150,201,Apollo 13 (1995),Adventure|Drama|IMAX
153,137,Batman Forever (1995),Action|Adventure|Comedy|Crime
158,62,Casper (1995),Adventure|Children
160,57,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,103,Crimson Tide (1995),Drama|Thriller|War
163,66,Desperado (1995),Action|Romance|Western
165,144,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
168,54,First Knight (1995),Action|Drama|Romance
172,53,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,62,Judge Dredd (1995),Action|Crime|Sci-Fi
185,112,"Net, The (1995)",Action|Crime|Thriller
208,115,Waterworld (1995),Action|Adventure|Sci-Fi
223,104,Clerks (1994),Comedy
225,52,Disclosure (1994),Drama|Thriller
231,133,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
235,70,Ed Wood (1994),Comedy|Drama
253,109,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
260,251,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
266,68,Legends of the Fall (1994),Drama|Romance|War|Western
288,92,Natural Born Killers (1994),Action|Crime|Thriller
292,101,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,133,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,307,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
300,81,Quiz Show (1994),Drama
316,140,Stargate (1994),Action|Adventure|Sci-Fi
317,81,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
318,317,"Shawshank Redemption, The (1994)",Crime|Drama
329,108,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
337,77,What's Eating Gilbert Grape (1993),Drama
339,98,While You Were Sleeping (1995),Comedy|Romance
344,161,Ace Ventura: Pet Detective (1994),Comedy
349,110,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,57,"Client, The (1994)",Drama|Mystery|Thriller
353,64,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
356,329,Forrest Gump (1994),Comedy|Drama|Romance|War
357,103,Four Weddings and a Funeral (1994),Comedy|Romance
364,172,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
367,157,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
368,74,Maverick (1994),Adventure|Comedy|Western
370,58,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
377,171,Speed (1994),Action|Romance|Thriller
380,178,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
410,84,Addams Family Values (1993),Children|Comedy|Fantasy
420,59,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
432,55,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
434,101,Cliffhanger (1993),Action|Adventure|Thriller
435,63,Coneheads (1993),Comedy|Sci-Fi
440,76,Dave (1993),Comedy|Romance
442,81,Demolition Man (1993),Action|Adventure|Sci-Fi
454,101,"Firm, The (1993)",Drama|Thriller
457,190,"Fugitive, The (1993)",Thriller
466,60,Hot Shots! Part Deux (1993),Action|Comedy|War
474,70,In the Line of Fire (1993),Action|Thriller
480,238,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
485,53,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
500,144,Mrs. Doubtfire (1993),Comedy|Drama
508,66,Philadelphia (1993),Drama
509,61,"Piano, The (1993)",Drama|Romance
520,69,Robin Hood: Men in Tights (1993),Comedy
527,220,Schindler's List (1993),Drama|War
539,106,Sleepless in Seattle (1993),Comedy|Drama|Romance
541,124,Blade Runner (1982),Action|Sci-Fi|Thriller
551,93,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
552,61,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
553,65,Tombstone (1993),Action|Drama|Western
555,65,True Romance (1993),Crime|Thriller
586,116,Home Alone (1990),Children|Comedy
587,115,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
588,183,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
589,224,Terminator 2: Judgment Day (1991),Action|Sci-Fi
590,164,Dances with Wolves (1990),Adventure|Drama|Western
592,189,Batman (1989),Action|Crime|Thriller
593,279,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
594,77,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
595,146,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
596,60,Pinocchio (1940),Animation|Children|Fantasy|Musical
597,135,Pretty Woman (1990),Comedy|Romance
608,181,Fargo (1996),Comedy|Crime|Drama|Thriller
648,162,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
653,65,Dragonheart (1996),Action|Adventure|Fantasy
673,53,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
708,58,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
733,121,"Rock, The (1996)",Action|Adventure|Thriller
736,123,Twister (1996),Action|Adventure|Romance|Thriller
750,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
778,102,Trainspotting (1996),Comedy|Crime|Drama
780,202,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
784,54,"Cable Guy, The (1996)",Comedy|Thriller
786,64,Eraser (1996),Action|Drama|Thriller
788,82,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
858,192,"Godfather, The (1972)",Crime|Drama
903,60,Vertigo (1958),Drama|Mystery|Romance|Thriller
904,84,Rear Window (1954),Mystery|Thriller
908,57,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
912,100,Casablanca (1942),Drama|Romance
919,92,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
923,69,Citizen Kane (1941),Drama|Mystery
924,109,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
953,58,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
1028,71,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
1035,64,"Sound of Music, The (1965)",Musical|Romance
1036,145,Die Hard (1988),Action|Crime|Thriller
1073,119,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1079,71,"Fish Called Wanda, A (1988)",Comedy|Crime
1080,89,Monty Python's Life of Brian (1979),Comedy
1089,131,Reservoir Dogs (1992),Crime|Mystery|Thriller
1090,63,Platoon (1986),Drama|War
1097,122,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1101,83,Top Gun (1986),Action|Romance
1127,62,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1136,136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1148,56,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
1193,133,One Flew Over the Cuckoo's Nest (1975),Drama
1196,211,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1197,142,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1198,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1199,59,Brazil (1985),Fantasy|Sci-Fi
1200,126,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1201,72,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
1203,57,12 Angry Men (1957),Drama
1206,120,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1207,58,To Kill a Mockingbird (1962),Drama
1208,107,Apocalypse Now (1979),Action|Drama|War
1210,196,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1213,126,Goodfellas (1990),Crime|Drama
1214,146,Alien (1979),Horror|Sci-Fi
1215,51,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
1219,83,Psycho (1960),Crime|Horror
1220,84,"Blues Brothers, The (1980)",Action|Comedy|Musical
1221,129,"Godfather: Part II, The (1974)",Crime|Drama
1222,102,Full Metal Jacket (1987),Drama|War
1225,76,Amadeus (1984),Drama
1230,58,Annie Hall (1977),Comedy|Romance
1234,64,"Sting, The (1973)",Comedy|Crime
1240,131,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1246,86,Dead Poets Society (1989),Drama
1247,79,"Graduate, The (1967)",Comedy|Drama|Romance
1252,59,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
1258,109,"Shining, The (1980)",Horror
1259,91,Stand by Me (1986),Adventure|Drama
1265,143,Groundhog Day (1993),Comedy|Fantasy|Romance
1270,171,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1276,57,Cool Hand Luke (1967),Drama
1278,69,Young Frankenstein (1974),Comedy|Fantasy
1282,53,Fantasia (1940),Animation|Children|Fantasy|Musical
1288,66,This Is Spinal Tap (1984),Comedy
1291,140,Indiana Jones and the Last Crusade (1989),Action|Adventure
1302,56,Field of Dreams (1989),Children|Drama|Fantasy
1304,62,Butch Cassidy and the Sundance Kid (1969),Action|Western
1307,85,When Harry Met Sally... (1989),Comedy|Romance
1356,91,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1370,68,Die Hard 2 (1990),Action|Adventure|Thriller
1374,62,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1377,60,Batman Returns (1992),Action|Crime
1380,68,Grease (1978),Comedy|Musical|Romance
1387,91,Jaws (1975),Action|Horror
1391,86,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1393,85,Jerry Maguire (1996),Drama|Romance
1394,58,Raising Arizona (1987),Comedy
1407,70,Scream (1996),Comedy|Horror|Mystery|Thriller
1466,52,Donnie Brasco (1997),Crime|Drama
1485,74,Liar Liar (1997),Comedy
1500,59,Grosse Pointe Blank (1997),Comedy|Crime|Romance
1517,100,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1527,116,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1544,67,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
1552,59,Con Air (1997),Action|Adventure|Thriller
1573,77,Face/Off (1997),Action|Crime|Drama|Thriller
1580,165,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1584,82,Contact (1997),Drama|Sci-Fi
1608,58,Air Force One (1997),Action|Thriller
1610,90,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
1617,97,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1625,77,"Game, The (1997)",Drama|Mystery|Thriller
1639,52,Chasing Amy (1997),Comedy|Drama|Romance
1641,56,"Full Monty, The (1997)",Comedy|Drama
1645,51,The Devil's Advocate (1997),Drama|Mystery|Thriller
1653,86,Gattaca (1997),Drama|Sci-Fi|Thriller
1676,80,Starship Troopers (1997),Action|Sci-Fi
1682,125,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
1704,141,Good Will Hunting (1997),Drama|Romance
1721,140,Titanic (1997),Drama|Romance
1732,106,"Big Lebowski, The (1998)",Comedy|Crime
1777,56,"Wedding Singer, The (1998)",Comedy|Romance
1784,96,As Good as It Gets (1997),Comedy|Drama|Romance
1917,92,Armageddon (1998),Action|Romance|Sci-Fi|Thriller
1923,105,There's Something About Mary (1998),Comedy|Romance
1954,64,Rocky (1976),Drama
1961,96,Rain Man (1988),Drama
1968,113,"Breakfast Club, The (1985)",Comedy|Drama
1997,53,"Exorcist, The (1973)",Horror|Mystery
2000,75,Lethal Weapon (1987),Action|Comedy|Crime|Drama
2005,57,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
2006,60,"Mask of Zorro, The (1998)",Action|Comedy|Romance
2011,87,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
2012,88,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
2028,188,Saving Private Ryan (1998),Action|Drama|War
2054,68,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
2078,53,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
2080,55,Lady and the Tramp (1955),Animation|Children|Comedy|Romance
2081,67,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance
2100,51,Splash (1984),Comedy|Fantasy|Romance
2115,108,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
2167,58,Blade (1998),Action|Horror|Thriller
2174,91,Beetlejuice (1988),Comedy|Fantasy
2194,65,"Untouchables, The (1987)",Action|Crime|Drama
2268,57,"Few Good Men, A (1992)",Crime|Drama|Thriller
2291,80,Edward Scissorhands (1990),Drama|Fantasy|Romance
2302,59,My Cousin Vinny (1992),Comedy
2321,61,Pleasantville (1998),Comedy|Drama|Fantasy
2324,88,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
2329,129,American History X (1998),Crime|Drama
2353,67,Enemy of the State (1998),Action|Thriller
2355,92,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
2395,56,Rushmore (1998),Comedy|Drama
2396,92,Shakespeare in Love (1998),Comedy|Drama|Romance
2406,54,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
2470,57,Crocodile Dundee (1986),Adventure|Comedy
2502,94,Office Space (1999),Comedy|Crime
2529,56,Planet of the Apes (1968),Action|Drama|Sci-Fi
2542,67,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller
2571,278,"Matrix, The (1999)",Action|Sci-Fi|Thriller
2572,54,10 Things I Hate About You (1999),Comedy|Romance
2599,56,Election (1999),Comedy
2617,87,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
2628,140,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
2640,61,Superman (1978),Action|Adventure|Sci-Fi
2657,63,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi
2671,56,Notting Hill (1999),Comedy|Romance
2683,121,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
2692,75,Run Lola Run (Lola rennt) (1998),Action|Crime
2699,53,Arachnophobia (1990),Comedy|Horror
2700,76,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical
2701,53,Wild Wild West (1999),Action|Comedy|Sci-Fi|Western
2706,103,American Pie (1999),Comedy|Romance
2710,64,"Blair Witch Project, The (1999)",Drama|Horror|Thriller
2712,53,Eyes Wide Shut (1999),Drama|Mystery|Thriller
2716,120,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
2762,179,"Sixth Sense, The (1999)",Drama|Horror|Mystery
2791,87,Airplane! (1980),Comedy
2797,91,Big (1988),Comedy|Drama|Fantasy|Romance
2804,55,"Christmas Story, A (1983)",Children|Comedy
2858,204,American Beauty (1999),Drama|Romance
2916,88,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
2918,109,Ferris Bueller's Day Off (1986),Comedy
2947,53,Goldfinger (1964),Action|Adventure|Thriller
2959,218,Fight Club (1999),Action|Crime|Drama|Thriller
2985,70,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller
2987,97,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
2997,99,Being John Malkovich (1999),Comedy|Drama|Fantasy
3033,59,Spaceballs (1987),Comedy|Sci-Fi
3052,79,Dogma (1999),Adventure|Comedy|Fantasy
3081,62,Sleepy Hollow (1999),Fantasy|Horror|Mystery|Romance
3114,97,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
3147,111,"Green Mile, The (1999)",Crime|Drama
3160,52,Magnolia (1999),Drama
3175,75,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
3253,61,Wayne's World (1992),Comedy
3408,70,Erin Brockovich (2000),Drama
3421,62,Animal House (1978),Comedy
3471,60,Close Encounters of the Third Kind (1977),Adventure|Drama|Sci-Fi
3481,75,High Fidelity (2000),Comedy|Drama|Romance
3489,53,Hook (1991),Adventure|Comedy|Fantasy
3527,61,Predator (1987),Action|Sci-Fi|Thriller
3535,59,American Psycho (2000),Crime|Horror|Mystery|Thriller
3552,52,Caddyshack (1980),Comedy
3578,170,Gladiator (2000),Action|Adventure|Drama
3623,77,Mission: Impossible II (2000),Action|Adventure|Thriller
3671,62,Blazing Saddles (1974),Comedy|Western
3717,61,Gone in 60 Seconds (2000),Action|Crime
3751,78,Chicken Run (2000),Animation|Children|Comedy
3753,68,"Patriot, The (2000)",Action|Drama|War
3793,133,X-Men (2000),Action|Adventure|Sci-Fi
3897,83,Almost Famous (2000),Drama
3911,53,Best in Show (2000),Comedy
3948,91,Meet the Parents (2000),Comedy
3949,96,Requiem for a Dream (2000),Drama
3977,72,Charlie's Angels (2000),Action|Comedy
3994,73,Unbreakable (2000),Drama|Sci-Fi
3996,110,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
4011,93,Snatch (2000),Comedy|Crime|Thriller
4018,54,What Women Want (2000),Comedy|Romance
4022,100,Cast Away (2000),Drama
4025,64,Miss Congeniality (2000),Comedy|Crime
4027,94,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
4034,70,Traffic (2000),Crime|Drama|Thriller
4226,159,Memento (2000),Mystery|Thriller
4239,51,Blow (2001),Crime|Drama
4246,65,Bridget Jones's Diary (2001),Comedy|Drama|Romance
4262,67,Scarface (1983),Action|Crime|Drama
4306,170,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
4308,55,Moulin Rouge (2001),Drama|Musical|Romance
4370,56,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi
4447,64,Legally Blonde (2001),Comedy|Romance
4720,55,"Others, The (2001)",Drama|Horror|Mystery|Thriller
4776,51,Training Day (2001),Crime|Drama|Thriller
4816,54,Zoolander (2001),Comedy
4848,51,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller
4878,109,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
4886,132,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
4896,107,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
4963,119,Ocean's Eleven (2001),Crime|Thriller
4973,120,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
4979,68,"Royal Tenenbaums, The (2001)",Comedy|Drama
4993,198,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
4995,123,"Beautiful Mind, A (2001)",Drama|Romance
5218,85,Ice Age (2002),Adventure|Animation|Children|Comedy
5299,60,My Big Fat Greek Wedding (2002),Comedy|Romance
5349,122,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
5378,92,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX
5418,112,"Bourne Identity, The (2002)",Action|Mystery|Thriller
5445,120,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
5459,61,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Action|Comedy|Sci-Fi
5481,65,Austin Powers in Goldmember (2002),Comedy
5502,63,Signs (2002),Horror|Sci-Fi|Thriller
5618,87,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
5669,58,Bowling for Columbine (2002),Documentary
5816,102,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
5952,188,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
5956,55,Gangs of New York (2002),Crime|Drama
5989,115,Catch Me If You Can (2002),Crime|Drama
6016,75,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
6333,76,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller
6365,96,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
6373,71,Bruce Almighty (2003),Comedy|Drama|Fantasy|Romance
6377,141,Finding Nemo (2003),Adventure|Animation|Children|Comedy
6378,59,"Italian Job, The (2003)",Action|Crime
6502,58,28 Days Later (2002),Action|Horror|Sci-Fi
6539,149,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
6711,74,Lost in Translation (2003),Comedy|Drama|Romance
6863,66,School of Rock (2003),Comedy|Musical
6870,52,Mystic River (2003),Crime|Drama|Mystery
6874,131,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
6934,79,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
6942,59,Love Actually (2003),Comedy|Drama|Romance
7143,62,"Last Samurai, The (2003)",Action|Adventure|Drama|War
7147,69,Big Fish (2003),Drama|Fantasy|Romance
7153,185,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
7361,131,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
7438,110,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
8360,92,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance
8368,93,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
8636,79,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
8641,57,Anchorman: The Legend of Ron Burgundy (2004),Comedy
8644,61,"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller
8665,75,"Bourne Supremacy, The (2004)",Action|Crime|Thriller
8874,77,Shaun of the Dead (2004),Comedy|Horror
8961,125,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
30707,52,Million Dollar Baby (2004),Drama
30793,61,Charlie and the Chocolate Factory (2005),Adventure|Children|Comedy|Fantasy|IMAX
32587,84,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller
33493,78,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi
33679,59,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance
33794,116,Batman Begins (2005),Action|Crime|IMAX
34162,58,Wedding Crashers (2005),Comedy|Romance
35836,74,"40-Year-Old Virgin, The (2005)",Comedy|Romance
40815,71,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX
41566,62,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Adventure|Children|Fantasy
44191,100,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX
45499,52,X-Men: The Last Stand (2006),Action|Sci-Fi|Thriller
45722,72,Pirates of the Caribbean: Dead Man's Chest (2006),Action|Adventure|Fantasy
46578,77,Little Miss Sunshine (2006),Adventure|Comedy|Drama
48385,65,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy
48394,81,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama|Fantasy|Thriller
48516,107,"Departed, The (2006)",Crime|Drama|Thriller
48774,64,Children of Men (2006),Action|Adventure|Drama|Sci-Fi|Thriller
48780,90,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller
49272,81,Casino Royale (2006),Action|Adventure|Thriller
49530,53,Blood Diamond (2006),Action|Adventure|Crime|Drama|Thriller|War
50872,72,Ratatouille (2007),Animation|Children|Drama
51255,61,Hot Fuzz (2007),Action|Comedy|Crime|Mystery
51662,80,300 (2007),Action|Fantasy|War|IMAX
52973,52,Knocked Up (2007),Comedy|Drama|Romance
53125,56,Pirates of the Caribbean: At World's End (2007),Action|Adventure|Comedy|Fantasy
54001,58,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX
54286,81,"Bourne Ultimatum, The (2007)",Action|Crime|Thriller
54503,55,Superbad (2007),Comedy
55820,64,No Country for Old Men (2007),Crime|Drama
56174,62,I Am Legend (2007),Action|Horror|Sci-Fi|Thriller|IMAX
56367,65,Juno (2007),Comedy|Drama|Romance
58559,149,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
59315,94,Iron Man (2008),Action|Adventure|Sci-Fi
59784,54,Kung Fu Panda (2008),Action|Animation|Children|Comedy|IMAX
60069,104,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
63082,71,Slumdog Millionaire (2008),Crime|Drama|Romance
68157,88,Inglourious Basterds (2009),Action|Drama|War
68358,59,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX
68954,105,Up (2009),Adventure|Animation|Children|Drama
69122,76,"Hangover, The (2009)",Comedy|Crime
69844,58,Harry Potter and the Half-Blood Prince (2009),Adventure|Fantasy|Mystery|Romance|IMAX
70286,65,District 9 (2009),Mystery|Sci-Fi|Thriller
71535,53,Zombieland (2009),Action|Comedy|Horror
72998,97,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
73017,58,Sherlock Holmes (2009),Action|Crime|Mystery|Thriller
74458,67,Shutter Island (2010),Drama|Mystery|Thriller
76093,53,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX
78499,55,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX
79132,143,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
80463,57,"Social Network, The (2010)",Drama
81845,58,"King's Speech, The (2010)",Drama
89745,69,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX
91500,54,The Hunger Games (2012),Action|Adventure|Drama|Sci-Fi|Thriller
91529,76,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
99114,71,Django Unchained (2012),Action|Drama|Western
106782,54,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
109374,52,"Grand Budapest Hotel, The (2014)",Comedy|Drama
109487,73,Interstellar (2014),Sci-Fi|IMAX
112852,59,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
122904,54,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
